"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Measure" "Value"
"116" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"117" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 1
"118" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 39
"119" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 24
"120" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 15
"121" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"122" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"123" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"124" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"125" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"126" "Smellophyllum capense" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"127" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 105
"128" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 98
"129" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 57
"130" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"131" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"132" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"133" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 41080
"134" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 36973
"135" "Acacia karoo" "2a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 5
"136" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 242
"137" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 254
"138" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 39
"139" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"140" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"141" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"142" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"143" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"144" "Acacia karoo" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"145" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 605
"146" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" NA
"147" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Number of individuals in 1994" 50
"148" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"149" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"150" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Number of individuals in 2008" NA
"151" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 3825
"152" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 3190
"153" "Acacia karoo" "3" "africa" "Tree" "Thicket" "Number of individuals in 2012" 23
"154" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 187
"155" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 190
"156" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 66
"157" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"158" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"159" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"160" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 1142
"161" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 2019
"162" "Acacia karoo" "4a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 30
"163" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 59
"164" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 61
"165" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 66
"166" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"167" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"168" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"169" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 300
"170" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"171" "Acacia karoo" "4b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 1
"172" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 263
"173" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 264
"174" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 51
"175" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"176" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"177" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"178" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 2859
"179" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 3942
"180" "Acacia karoo" "5a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 20
"181" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 8
"182" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 8
"183" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 49
"184" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"185" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"186" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"187" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"188" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"189" "Acacia karoo" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"190" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Area cover in 1994 (cm^2)" 84
"191" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 56
"192" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Number of individuals in 1994" 17
"193" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Area cover in 2008 (cm^2)" NA
"194" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"195" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Number of individuals in 2008" NA
"196" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Area cover in 2012 (cm^2)" 10450
"197" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"198" "Crassula ovata" "2a" "shale" "Succulent" "Thicket" "Number of individuals in 2012" 1
"199" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Area cover in 1994 (cm^2)" 76
"200" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 39
"201" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Number of individuals in 1994" 17
